순위,제품ID,제품명,카테고리,원가USD,권장정가USD,마진USD,마진율%,배송비조회됨,이미지URL,제품링크
52,5252,Metal Sign 20x30cm,Wall Art,2.95,16.99,14.04,82.6,Y,https://ipimg.interestprint.com/data/product/5252/img/20260210/20260210014907590408_250x250.jpg,https://www.interestprint.com/custom/metal_sign_20x30cm-5252.html
53,5254,Metal Sign(Vertical) 30x20cm,Wall Art,2.95,16.99,14.04,82.6,Y,https://ipimg.interestprint.com/data/product/5254/img/20260210/20260210014957223170_250x250.jpg,https://www.interestprint.com/custom/metal_sign_vertical_30x20cm-5254.html
54,4322,Multifunctional Bandana,Halloween Decor,2.97,16.99,14.02,82.5,Y,https://ipimg.interestprint.com/data/product/4322/img/20250512/20250512022643554854_250x250.jpg,https://www.interestprint.com/custom/multifunctional_bandana-4322.html
55,4912,"MousePad 7.9""×9.4"" (with Stitched Edges)",Home Decor,2.97,17.99,15.02,83.5,Y,https://ipimg.interestprint.com/data/product/4912/img/20251031/20251031004537837934_250x250.jpg,https://www.interestprint.com/custom/mousepad_7_9_9_4_with_stitched_edges-4912.html
56,6220,Custom Scrub Cap,Accessories,2.97,15.99,13.02,81.4,Y,https://ipimg.interestprint.com/data/product/6220/img/20260910/20260910151342135978_250x250.jpg,https://www.interestprint.com/custom/custom_scrub_cap-6220.html
57,4104,Metal Sign（14*20cm）,Wall Art,2.97,9.99,7.02,70.3,Y,https://ipimg.interestprint.com/data/product/4104/img/20250102/20250102230219816652_250x250.jpg,https://www.interestprint.com/custom/metal_sign_14_20cm-4104.html
58,5046,Phone Case for iPhone 17 Pro Max | Ships from USA,Valentine's Day,2.99,21.99,19.0,86.4,Y,https://ipimg.interestprint.com/data/product/5046/img/20260109/20260109231702107689_250x250.jpg,https://www.interestprint.com/custom/phone_case_for_iphone_17_pro_max-5046.html
59,5045,Phone Case for iPhone 17 Pro | Ships from USA,Valentine's Day,2.99,21.99,19.0,86.4,Y,https://ipimg.interestprint.com/data/product/5045/img/20260109/20260109231923595158_250x250.jpg,https://www.interestprint.com/custom/phone_case_for_iphone_17_pro-5045.html
60,4451,Phone Case for iPhone 16 Pro Max | Ships from USA,Back to School,2.99,25.99,23.0,88.5,Y,https://ipimg.interestprint.com/data/product/4451/img/20260109/20260109232402255389_250x250.jpg,https://www.interestprint.com/custom/phone_case_for_iphone_16_pro_max-4451.html
61,5044,Phone Case for iPhone 17 Air  | Ships from USA,U.S. Fulfillment,2.99,21.99,19.0,86.4,Y,https://ipimg.interestprint.com/data/product/5044/img/20260109/20260109232029689819_250x250.jpg,https://www.interestprint.com/custom/phone_case_for_iphone_17_air-5044.html
